construct,item,item_mean,item_sd,corrected_item_total_r,alpha_if_deleted
Attraction,Attraction_1,3.6537216828478964,0.4899914525650108,0.704393721645277,0.7857569156396407
Attraction,Attraction_2,3.29126213592233,0.6541238011993014,0.6901376026543905,0.7938381175787769
Attraction,Attraction_3,3.498381877022654,0.5676597862428204,0.5625714699565025,0.8422556705966842
Attraction,Attraction_4,3.588996763754045,0.5058187043574055,0.7682882770255931,0.7576565979078267
Resonance,Resonance_1,3.585760517799353,0.5190442836946523,0.7067859924281377,0.7469177374292363
Resonance,Resonance_2,3.1423948220064726,0.7201520127942036,0.6179211834924893,0.778777208870848
Resonance,Resonance_3,3.598705501618123,0.5104094428522564,0.6511944937008585,0.7631918543855467
Resonance,Resonance_4,3.440129449838188,0.5349547705787435,0.3718337970426338,0.836485288651245
Resonance,Resonance_5,3.588996763754045,0.5663811672477019,0.7124492201746786,0.7409086351351668
Retention,Retention_1,3.0550161812297736,0.6498369548734019,0.7579329049079444,0.8255916171454691
Retention,Retention_2,3.1229773462783172,0.6327810726062997,0.38341563582897226,0.9089806926542066
Retention,Retention_3,3.2297734627831716,0.6806368392585191,0.7156960640483507,0.835542702469174
Retention,Retention_4,2.838187702265372,0.6642772293107315,0.7608299830507009,0.8243805792391086
Retention,Retention_5,3.355987055016181,0.7181357176208356,0.8719445864412411,0.7924105490209628
Conversion,Conversion_1,2.715210355987055,0.5433736347168422,0.5862855620160283,0.7909884989338669
Conversion,Conversion_2,2.4563106796116503,0.6562887444957511,0.630283125510114,0.7798213200522488
Conversion,Conversion_3,2.957928802588997,0.47143423896416076,0.5863975120565371,0.7939317221518976
Conversion,Conversion_4,2.55663430420712,0.6143809567265507,0.6469677873640572,0.7728139268244695
Conversion,Conversion_5,2.472491909385113,0.5949358287718158,0.6258559039959224,0.7792504369669662
Overall_19_items,Attraction_1,3.6537216828478964,0.4899914525650108,0.3651855577136149,0.8171125145439684
Overall_19_items,Attraction_2,3.29126213592233,0.6541238011993014,0.38598466200217046,0.8161523361898333
Overall_19_items,Attraction_3,3.498381877022654,0.5676597862428204,0.2957014739910209,0.82042369009151
Overall_19_items,Attraction_4,3.588996763754045,0.5058187043574055,0.4111385800211207,0.8150262408532067
Overall_19_items,Resonance_1,3.585760517799353,0.5190442836946523,0.3776525318883704,0.8164638179045205
Overall_19_items,Resonance_2,3.1423948220064726,0.7201520127942036,0.40157832417186046,0.815641399121553
Overall_19_items,Resonance_3,3.598705501618123,0.5104094428522564,0.4200075938978642,0.8145970481957623
Overall_19_items,Resonance_4,3.440129449838188,0.5349547705787435,0.2889522913371923,0.8205357128040373
Overall_19_items,Resonance_5,3.588996763754045,0.5663811672477019,0.4680021285835807,0.8118712637579625
Overall_19_items,Retention_1,3.0550161812297736,0.6498369548734019,0.4479586200388374,0.8125754046196284
Overall_19_items,Retention_2,3.1229773462783172,0.6327810726062997,0.2677907054695584,0.8225339640698351
Overall_19_items,Retention_3,3.2297734627831716,0.6806368392585191,0.42161501759541625,0.8141718149150559
Overall_19_items,Retention_4,2.838187702265372,0.6642772293107315,0.49495987351101295,0.809777328084605
Overall_19_items,Retention_5,3.355987055016181,0.7181357176208356,0.5362008831904629,0.8069744561308592
Overall_19_items,Conversion_1,2.715210355987055,0.5433736347168422,0.4122194646766119,0.8147594822342678
Overall_19_items,Conversion_2,2.4563106796116503,0.6562887444957511,0.3598173396718797,0.8176643873847195
Overall_19_items,Conversion_3,2.957928802588997,0.47143423896416076,0.4830292539926999,0.8123085969081509
Overall_19_items,Conversion_4,2.55663430420712,0.6143809567265507,0.404639234783721,0.8150023082206433
Overall_19_items,Conversion_5,2.472491909385113,0.5949358287718158,0.41997084824814923,0.8141985007704841
