dimension,continent_a,continent_b,mean_a,mean_b,mean_difference_a_minus_b,mann_whitney_u,p_value,cohen_d_a_minus_b,p_holm_within_dimension
Attraction,Africa,Asia,3.34375,3.4526315789473685,-0.1088815789473685,1668.5,0.2546716441717013,-0.20892463396739722,0.5093432883434026
Attraction,Africa,Europe,3.34375,3.5933734939759034,-0.24962349397590344,1158.5,0.00518115486531291,-0.58810105536508,0.03108692919187746
Attraction,Africa,North America,3.34375,3.372549019607843,-0.028799019607843146,1000.0,0.873712986622877,-0.06587981770809141,0.873712986622877
Attraction,Africa,South America,3.34375,3.8,-0.4562499999999998,390.0,4.047455507346358e-05,-1.1954821431829223,0.0003642709956611722
Attraction,Asia,Europe,3.4526315789473685,3.5933734939759034,-0.14074191502853495,3432.0,0.12668432964316767,-0.2980273357757004,0.380052988929503
Attraction,Asia,North America,3.4526315789473685,3.372549019607843,0.08008255933952535,2875.0,0.05817645135509514,0.1637086279160832,0.23270580542038055
Attraction,Asia,South America,3.4526315789473685,3.8,-0.3473684210526313,1244.5,0.0010937427886252686,-0.7463295580967854,0.008040588961142155
Attraction,Europe,North America,3.5933734939759034,3.372549019607843,0.2208244743680603,2820.0,0.0010050736201427694,0.5653973658987766,0.008040588961142155
Attraction,Europe,South America,3.5933734939759034,3.8,-0.20662650602409638,1201.5,0.009653031275716772,-0.5971200825378467,0.04826515637858386
Attraction,North America,South America,3.372549019607843,3.8,-0.4274509803921567,365.0,7.237321919903766e-08,-1.2950074983260191,7.237321919903767e-07
Resonance,Africa,Asia,3.37,3.416842105263158,-0.04684210526315802,1814.0,0.669171567650212,-0.09782126879257112,1.0
Resonance,Africa,Europe,3.37,3.4891566265060243,-0.11915662650602421,1534.5,0.4886822086061512,-0.2736365063002507,1.0
Resonance,Africa,North America,3.37,3.4823529411764715,-0.11235294117647143,947.5,0.5543161400382968,-0.24053367416340546,1.0
Resonance,Africa,South America,3.37,3.65,-0.2799999999999998,543.5,0.011757731843880794,-0.6208675790221181,0.10581958659492714
Resonance,Asia,Europe,3.416842105263158,3.4891566265060243,-0.07231452124286619,3823.5,0.7216759832087217,-0.1702501329532319,1.0
Resonance,Asia,North America,3.416842105263158,3.4823529411764715,-0.06551083591331341,2363.5,0.8041390382467974,-0.14796558500344215,1.0
Resonance,Asia,South America,3.416842105263158,3.65,-0.2331578947368418,1356.0,0.006922579165087802,-0.541333000511169,0.06922579165087801
Resonance,Europe,North America,3.4891566265060243,3.4823529411764715,0.006803685329552778,2103.0,0.9511734100586621,0.017191555052128542,1.0
Resonance,Europe,South America,3.4891566265060243,3.65,-0.1608433734939756,1212.0,0.01331786249686383,-0.42760317574406737,0.10654289997491063
Resonance,North America,South America,3.4823529411764715,3.65,-0.16764705882352837,758.5,0.032385515263652076,-0.4289586500533515,0.22669860684556453
Retention,Africa,Asia,3.105,3.1326315789473687,-0.027631578947368673,1834.0,0.7496194290733518,-0.05133861878492435,1.0
Retention,Africa,Europe,3.105,3.014457831325301,0.09054216867469878,1814.0,0.40165780469825085,0.160261115895482,1.0
Retention,Africa,North America,3.105,3.2392156862745094,-0.13421568627450942,879.5,0.2573092448719705,-0.2615256007241463,1.0
Retention,Africa,South America,3.105,3.175,-0.06999999999999984,737.5,0.5472102841838775,-0.12743756563524977,1.0
Retention,Asia,Europe,3.1326315789473687,3.014457831325301,0.11817374762206745,4449.5,0.13538129524740986,0.21407571341642517,1.0
Retention,Asia,North America,3.1326315789473687,3.2392156862745094,-0.10658410732714074,2188.0,0.33071855921423543,-0.20626389122543412,1.0
Retention,Asia,South America,3.1326315789473687,3.175,-0.04236842105263117,1798.0,0.6213054065325737,-0.07870287514041309,1.0
Retention,Europe,North America,3.014457831325301,3.2392156862745094,-0.2247578549492082,1617.0,0.020687689224160727,-0.4159318883522258,0.20687689224160727
Retention,Europe,South America,3.014457831325301,3.175,-0.16054216867469862,1385.0,0.1344886842740574,-0.2841034156228156,1.0
Retention,North America,South America,3.2392156862745094,3.175,0.06421568627450958,1078.5,0.639091781780381,0.1250846135063982,1.0
Conversion,Africa,Asia,2.65,2.614736842105263,0.035263157894736885,1959.0,0.7752678556121819,0.08179529763674771,1.0
Conversion,Africa,Europe,2.65,2.628915662650602,0.021084337349397853,1664.5,0.9825642689978138,0.04711623027970179,1.0
Conversion,Africa,North America,2.65,2.5647058823529414,0.08529411764705852,1103.0,0.5033771827968871,0.19944996539636994,1.0
Conversion,Africa,South America,2.65,2.745,-0.0950000000000002,681.5,0.25087610088123835,-0.19920780023537088,1.0
Conversion,Asia,Europe,2.614736842105263,2.628915662650602,-0.014178820545339033,3886.5,0.8695984049705183,-0.03267043104611079,1.0
Conversion,Asia,North America,2.614736842105263,2.5647058823529414,0.050030959752321635,2559.0,0.5703573310517656,0.1196067439583049,1.0
Conversion,Asia,South America,2.614736842105263,2.745,-0.13026315789473708,1569.0,0.1061735873316178,-0.29095822590148196,0.9555622859845603
Conversion,Europe,North America,2.628915662650602,2.5647058823529414,0.06420978029766067,2255.0,0.5206353242338853,0.14841489882012182,1.0
Conversion,Europe,South America,2.628915662650602,2.745,-0.11608433734939805,1411.5,0.17455693027187558,-0.24961331587670887,1.0
Conversion,North America,South America,2.5647058823529414,2.745,-0.18029411764705872,791.5,0.06396502748885549,-0.39852572730687796,0.6396502748885549
