model,term,estimate,std_error,t,p_value,ci95_low,ci95_high
M1_Resonance_controlled,Intercept,-0.0975640790193059,0.20017170718742439,-0.4874019430126301,0.6259735168811983,-0.4898934158305552,0.29476525779194335
M1_Resonance_controlled,C(Gender)[T.Male],-0.26655106225063324,0.12997809246992623,-2.0507383758713544,0.040292431624757236,-0.5213034422709055,-0.011798682230361013
M1_Resonance_controlled,C(Continent)[T.Asia],0.18982629534736756,0.22512681729667777,0.8431971704961728,0.39911818063647064,-0.2514141585082498,0.6310667492029849
M1_Resonance_controlled,C(Continent)[T.Europe],0.1484827943253093,0.21793388150819099,0.6813203770691737,0.4956687923301357,-0.2786597644417647,0.5756253530923834
M1_Resonance_controlled,C(Continent)[T.North America],0.3363411163267769,0.2373031294028448,1.4173480019970812,0.15638120728431032,-0.12876447072144687,0.8014467033750006
M1_Resonance_controlled,C(Continent)[T.South America],0.592129927097424,0.23025398505931816,2.5716381279780203,0.010121862904990774,0.14084040908433665,1.0434194451105112
M1_Resonance_controlled,Attraction_z,0.17263699833858095,0.06494815582938705,2.658073907318982,0.007858865660339253,0.04534095205068717,0.29993304462647474
M2_Retention_controlled,Intercept,-0.01953894358385193,0.17031253592468623,-0.1147240482197519,0.9086638520554591,-0.35334538011192107,0.3142674929442172
M2_Retention_controlled,C(Gender)[T.Male],0.20713431057886028,0.13227293982983263,1.5659613436076631,0.11735766723047024,-0.05211588761684527,0.46638450877456583
M2_Retention_controlled,C(Continent)[T.Asia],-0.07979503308636586,0.1950099178176758,-0.40918448650888667,0.6824042782898695,-0.46200744863712623,0.3024173824643945
M2_Retention_controlled,C(Continent)[T.Europe],-0.22773985376991393,0.20393733889904142,-1.1167148448605377,0.26411626856078885,-0.6274496931149746,0.17196998557514667
M2_Retention_controlled,C(Continent)[T.North America],0.12703270212424317,0.2062288904090303,0.6159791766919224,0.5379082632122885,-0.277168495649114,0.5312338998976003
M2_Retention_controlled,C(Continent)[T.South America],-0.14642205159907143,0.2370499399774996,-0.6176844069775743,0.5367833926097225,-0.6110313964923522,0.31818729329420936
M2_Retention_controlled,Attraction_z,0.06440733805072495,0.06415945082769887,1.0038636119827735,0.3154443578898679,-0.06134287483943342,0.19015755094088332
M2_Retention_controlled,Resonance_z,0.18331512807481803,0.06754001493453032,2.7141706772276244,0.006644192470989191,0.05093913128784122,0.31569112486179485
M3_Conversion_controlled,Intercept,0.12591767260409223,0.15917677661137056,0.7910555502171005,0.4289115760883091,-0.1860630767293717,0.4378984219375561
M3_Conversion_controlled,C(Gender)[T.Male],0.11082298080356816,0.12258352367189561,0.9040609821283531,0.36596306626991304,-0.1294363106913604,0.3510822722984967
M3_Conversion_controlled,C(Continent)[T.Asia],-0.20337259267846025,0.18369922614273157,-1.107095533001553,0.2682526266567482,-0.5634164599060929,0.1566712745491724
M3_Conversion_controlled,C(Continent)[T.Europe],-0.17048579766443034,0.19255119207016014,-0.8854050490755216,0.37593821020145346,-0.5478791993021986,0.20690760397333796
M3_Conversion_controlled,C(Continent)[T.North America],-0.3160203487829908,0.2113322550475562,-1.4953720562527313,0.13481736916052417,-0.730223957447834,0.09818325988185245
M3_Conversion_controlled,C(Continent)[T.South America],-0.1596886144970016,0.23945653613997717,-0.6668793304671113,0.5048492146721644,-0.6290148011940707,0.3096375722000675
M3_Conversion_controlled,Attraction_z,0.2025092765142923,0.058345199938506676,3.470881524576629,0.0005187528238854261,0.08815478596403063,0.31686376706455394
M3_Conversion_controlled,Resonance_z,0.16695304872395006,0.054892501074487336,3.041454578602644,0.002354380844228914,0.05936572359662866,0.27454037385127145
M3_Conversion_controlled,Retention_z,0.1215624220887113,0.05795256370726891,2.09761940304746,0.03593877968750553,0.007977484410701202,0.2351473597667214
